team_name,league,country,coach_name,staff_url,staff_dob,staff_nationality,staff_nationality_secondary,appointed,end_date,days_in_post,matches,wins,draws,losses
Nantes,Ligue 1,France,Claudio Ranieri,https://www.transfermarkt.com/claudio-ranieri/profil/trainer/456,"Oct 20, 1951",Italy,,2017-07-01,2018-05-17,320,40,14,10,16
Toulouse,Ligue 1,France,Philippe Montanier,https://www.transfermarkt.com/philippe-montanier/profil/trainer/5065,"Nov 15, 1964",France,,2021-06-23,2023-06-30,737,87,46,19,22
Toulouse,Ligue 1,France,Patrice Garande,https://www.transfermarkt.com/patrice-garande/profil/trainer/5747,"Nov 27, 1960",France,,2020-06-22,2021-06-02,345,46,26,10,10
Toulouse,Ligue 1,France,Antoine Kombouaré,https://www.transfermarkt.com/antoine-kombouare/profil/trainer/1224,"Nov 16, 1963",France,Neukaledonien,2019-10-14,2020-01-05,83,13,2,0,11
Toulouse,Ligue 1,France,Alain Casanova,https://www.transfermarkt.com/alain-casanova/profil/trainer/5034,"Sep 18, 1961",France,,2018-06-25,2019-10-10,472,51,12,17,22
Toulouse,Ligue 1,France,Pascal Dupraz,https://www.transfermarkt.com/pascal-dupraz/profil/trainer/8872,"Sep 19, 1962",France,,2016-03-01,2018-01-22,692,77,24,22,31
Montpellier,Ligue 1,France,Romain Pitau,https://www.transfermarkt.com/romain-pitau/profil/trainer/58644,"Aug 8, 1977",France,,2022-10-17,2023-02-07,113,12,2,2,8
Montpellier,Ligue 1,France,Olivier Dall'Oglio,https://www.transfermarkt.com/olivier-dalloglio/profil/trainer/14547,"May 16, 1964",France,Italy,2021-06-01,2022-10-17,503,52,18,7,27
Montpellier,Ligue 1,France,Michel Der Zakarian,https://www.transfermarkt.com/michel-der-zakarian/profil/trainer/4002,"Feb 18, 1963",Armenia,France,2017-05-23,2021-05-24,1462,161,63,51,47
Strasbourg,Ligue 1,France,Julien Stéphan,https://www.transfermarkt.com/julien-stephan/profil/trainer/61003,"Sep 18, 1980",France,,2021-05-28,2023-01-09,591,58,19,20,19
Strasbourg,Ligue 1,France,Thierry Laurey,https://www.transfermarkt.com/thierry-laurey/profil/trainer/7232,"Feb 14, 1964",France,,2016-07-01,2021-05-24,1788,209,81,51,77
Reims,Ligue 1,France,Will Still,https://www.transfermarkt.com/will-still/profil/trainer/53316,"Oct 14, 1992",Belgium,England,2022-10-13,,482,53,23,13,17
Reims,Ligue 1,France,Óscar García,https://www.transfermarkt.com/oscar-garcia/profil/trainer/16362,"Apr 26, 1973",Spain,,2021-06-23,2022-10-13,477,51,14,18,19
Reims,Ligue 1,France,Sébastien Desmazeau,https://www.transfermarkt.com/sebastien-desmazeau/profil/trainer/94064,"Jul 22, 1973",France,,2018-07-01,2019-03-30,272,1,1,0,0
Reims,Ligue 1,France,David Guion,https://www.transfermarkt.com/david-guion/profil/trainer/5753,"Sep 30, 1967",France,,2017-05-22,2021-05-25,1464,156,66,46,44
