Team,League,Country,HeadCoach,Appointed,EndDate,Tenure,Matches,Wins,Draws,Losses,AppointmentNumber
Wolfsburg,Bundesliga,Germany,Florian Kohfeldt,2021-10-26,2022-05-15,201,28,9,5,14,2
Getafe,LaLiga,Spain,Fran Escribá,2015-07-01,2016-04-11,285,34,8,7,19,1
Villarreal,LaLiga,Spain,Fran Escribá,2016-08-11,2017-09-25,410,59,26,16,17,2
Celta Vigo,LaLiga,Spain,Fran Escribá,2019-03-03,2019-11-03,245,24,6,7,11,3
Chelsea,Premier League,England,Frank Lampard,2019-07-04,2021-01-25,571,84,44,15,25,1
Everton,Premier League,England,Frank Lampard,2022-01-31,2023-01-23,357,44,12,8,24,2
Milan,Serie A,Italy,Frank de Boer,2016-08-09,2016-11-01,84,14,5,2,7,1
Köln,Bundesliga,Germany,Friedhelm Funkel,2021-04-12,2021-06-30,79,8,4,1,3,1
Lille,Ligue 1,France,Frédéric Antonetti,2015-11-22,2016-11-22,366,45,20,9,16,1
Montpellier,Ligue 1,France,Frédéric Hantz,2016-01-26,2017-01-30,370,41,14,11,16,1
Udinese,Serie A,Italy,Gabriele Cioffi,2021-12-07,2022-06-07,182,24,9,7,8,1
Hellas Verona,Serie A,Italy,Gabriele Cioffi,2022-06-14,2022-10-11,119,10,1,2,7,2
Athletic Club,LaLiga,Spain,Gaizka Garitano,2018-12-05,2021-01-03,760,89,39,21,29,1
Valencia,LaLiga,Spain,Gary Neville,2015-12-08,2016-03-30,113,28,10,7,11,1
Milan,Serie A,Italy,Gennaro Gattuso,2017-11-28,2019-05-28,546,83,41,22,20,1
Napoli,Serie A,Italy,Gennaro Gattuso,2019-12-11,2021-06-30,567,81,47,12,22,2
Valencia,LaLiga,Spain,Gennaro Gattuso,2022-07-01,2023-01-30,213,22,7,5,10,3
Leverkusen,Bundesliga,Germany,Gerardo Seoane,2021-07-01,2022-10-05,461,56,26,10,20,1
Genoa,Serie A,Italy,Gian Piero Gasperini,2013-09-29,2016-06-13,988,111,40,28,43,1
Empoli,Serie A,Italy,Giovanni Martusciello,2016-07-01,2017-06-30,364,40,9,8,23,1
Udinese,Serie A,Italy,Giuseppe Iachini,2016-07-01,2016-10-03,94,8,2,1,5,1
Sassuolo,Serie A,Italy,Giuseppe Iachini,2017-11-27,2018-06-05,190,26,9,8,9,2
Empoli,Serie A,Italy,Giuseppe Iachini,2018-11-06,2019-03-13,127,16,4,4,8,3
Fiorentina,Serie A,Italy,Giuseppe Iachini,2019-12-23,2020-11-09,322,31,12,10,9,4
Fiorentina,Serie A,Italy,Giuseppe Iachini,2021-03-24,2021-06-30,98,10,2,5,3,5
Betis,LaLiga,Spain,Gustavo Poyet,2016-05-11,2016-11-11,184,11,3,2,6,1
Stuttgart,Bundesliga,Germany,Hannes Wolf,2016-09-21,2018-01-28,494,52,25,8,19,1
Bayern Munich,Bundesliga,Germany,Hansi Flick,2019-11-03,2021-06-30,605,86,70,8,8,1
Leverkusen,Bundesliga,Germany,Heiko Herrlich,2017-07-01,2018-12-23,540,64,32,14,18,1
Augsburg,Bundesliga,Germany,Heiko Herrlich,2020-03-10,2021-04-26,412,42,12,9,21,2
