date,league,team,result,days_in_post
2019-01-02,Premier League,Wolves,loss,550
2019-01-02,Premier League,West Ham,draw,185
2019-01-02,Premier League,Chelsea,draw,172
2019-01-02,Premier League,Newcastle Utd,loss,1027
2019-01-03,Premier League,Manchester City,win,916
2019-01-12,Premier League,West Ham,win,195
2019-01-12,Premier League,Brighton,loss,1473
2019-01-12,Premier League,Crystal Palace,loss,487
2019-01-12,Premier League,Chelsea,win,182
2019-01-13,Premier League,Everton,win,227
2019-01-13,Premier League,Tottenham,loss,1657
2019-01-14,Premier League,Manchester City,win,927
2019-01-19,Premier League,Wolves,win,567
2019-01-19,Premier League,Newcastle Utd,win,1044
2019-01-19,Premier League,Liverpool,win,1199
2019-01-19,Premier League,Arsenal,win,202
2019-01-20,Premier League,Fulham,loss,67
2019-01-29,Premier League,Fulham,win,76
2019-01-29,Premier League,Wolves,win,577
2019-01-29,Premier League,Arsenal,win,212
2019-01-29,Premier League,Newcastle Utd,win,1054
2019-01-30,Premier League,Tottenham,win,1674
2019-01-30,Premier League,Liverpool,draw,1210
2019-02-02,Premier League,Tottenham,win,1677
2019-02-02,Premier League,Brighton,draw,1494
2019-02-02,Premier League,Chelsea,win,203
2019-02-02,Premier League,Everton,loss,247
2019-02-02,Premier League,Crystal Palace,win,508
2019-02-03,Premier League,Manchester City,win,947
2019-02-04,Premier League,West Ham,draw,218
2019-02-09,Premier League,Fulham,loss,87
2019-02-09,Premier League,Crystal Palace,draw,515
2019-02-09,Premier League,Liverpool,win,1220
2019-02-09,Premier League,Brighton,loss,1501
2019-02-10,Premier League,Tottenham,win,1685
2019-02-10,Premier League,Manchester City,win,954
2019-02-11,Premier League,Wolves,draw,590
2019-02-06,Premier League,Everton,loss,251
2019-02-22,Premier League,West Ham,win,236
2019-02-23,Premier League,Newcastle Utd,win,1079
2019-02-24,Premier League,Arsenal,win,238
2019-04-03,Premier League,Chelsea,win,263
2019-02-26,Premier League,Newcastle Utd,win,1082
2019-02-27,Premier League,Arsenal,win,241
2019-02-27,Premier League,Crystal Palace,loss,533
2019-02-27,Premier League,Chelsea,win,228
2019-02-27,Premier League,Liverpool,win,1238
2019-02-27,Premier League,Manchester City,win,971
2019-03-02,Premier League,Tottenham,draw,1705
2019-03-02,Premier League,Wolves,win,609
2019-03-02,Premier League,Brighton,win,1522
2019-03-02,Premier League,West Ham,win,244
2019-03-03,Premier League,Fulham,loss,3
2019-03-03,Premier League,Everton,draw,276
2018-08-25,Premier League,Wolves,draw,420
2018-08-25,Premier League,Arsenal,win,55
2018-08-25,Premier League,Liverpool,win,1052
2018-08-26,Premier League,Fulham,win,973
2018-08-26,Premier League,Newcastle Utd,loss,898
2018-08-27,Premier League,Manchester Utd,loss,787
2019-03-09,Premier League,Crystal Palace,loss,543
2019-03-09,Premier League,Newcastle Utd,win,1093
2019-03-09,Premier League,Manchester City,win,981
2019-03-10,Premier League,Liverpool,win,1249
2019-03-10,Premier League,Chelsea,draw,239
2019-03-10,Premier League,Arsenal,win,252
2019-03-16,Premier League,West Ham,win,258
2019-03-17,Premier League,Fulham,loss,17
2019-03-17,Premier League,Everton,win,290
2019-04-03,Premier League,Tottenham,win,1737
2019-04-16,Premier League,Brighton,loss,1567
2019-04-24,Premier League,Wolves,win,662
2019-04-24,Premier League,Manchester Utd,loss,27
2019-03-30,Premier League,Fulham,loss,30
2019-03-30,Premier League,Crystal Palace,win,564
2019-03-30,Premier League,Brighton,loss,1550
2019-03-30,Premier League,Manchester Utd,win,2
2019-03-30,Premier League,West Ham,loss,272
2019-03-31,Premier League,Liverpool,win,1270
2019-04-01,Premier League,Arsenal,win,274
2019-04-02,Premier League,Wolves,win,640
2019-04-03,Premier League,Manchester City,win,1006
2019-04-06,Premier League,Newcastle Utd,loss,1121
2019-04-07,Premier League,Everton,win,311
2019-04-08,Premier League,Chelsea,win,268
2019-04-23,Premier League,Tottenham,win,1757
2019-04-13,Premier League,Tottenham,win,1747
2019-04-13,Premier League,Fulham,win,44
2019-04-13,Premier League,Brighton,loss,1564
2019-04-13,Premier League,Manchester Utd,win,16
2019-04-14,Premier League,Crystal Palace,loss,579
2019-04-14,Premier League,Liverpool,win,1284
2019-04-20,Premier League,Manchester City,win,1023
2019-04-20,Premier League,West Ham,draw,293
2019-04-20,Premier League,Wolves,draw,658
2019-04-20,Premier League,Newcastle Utd,win,1135
2019-04-21,Premier League,Everton,win,325
2019-04-21,Premier League,Arsenal,loss,294
2019-04-22,Premier League,Chelsea,draw,282
2019-04-26,Premier League,Liverpool,win,1296
2019-04-27,Premier League,Tottenham,loss,1761
2019-04-27,Premier League,Fulham,win,58
2019-04-27,Premier League,Crystal Palace,draw,592
2019-04-27,Premier League,Brighton,draw,1578
2019-04-28,Premier League,Manchester Utd,draw,31
2019-05-03,Premier League,Everton,win,337
2019-05-04,Premier League,Wolves,win,672
2019-05-04,Premier League,West Ham,win,307
2019-05-04,Premier League,Newcastle Utd,loss,1149
2019-05-05,Premier League,Chelsea,win,295
2019-05-05,Premier League,Arsenal,draw,308
2019-05-06,Premier League,Manchester City,win,1039
2019-05-12,Premier League,Brighton,loss,1593
2019-05-12,Premier League,Crystal Palace,win,607
2019-05-12,Premier League,Tottenham,draw,1776
2019-05-12,Premier League,Liverpool,win,1312
2019-05-12,Premier League,Manchester Utd,loss,45
2019-05-12,Premier League,Fulham,loss,73
2018-09-01,Premier League,Crystal Palace,loss,354
2018-09-01,Premier League,Brighton,draw,1340
2018-09-01,Premier League,Chelsea,win,49
2018-09-01,Premier League,Everton,draw,93
2018-09-01,Premier League,West Ham,loss,62
2018-09-01,Premier League,Manchester City,win,792
2018-09-15,Premier League,Tottenham,loss,1537
2018-09-15,Premier League,Manchester City,win,806
2018-09-15,Premier League,Newcastle Utd,loss,918
2018-09-15,Premier League,Chelsea,win,63
2018-09-16,Premier League,Wolves,win,442
2018-09-16,Premier League,Everton,loss,108
2018-09-22,Premier League,Fulham,draw,1000
2018-09-22,Premier League,Crystal Palace,draw,375
2018-09-22,Premier League,Liverpool,win,1080
2018-09-22,Premier League,Manchester Utd,draw,813
2018-09-22,Premier League,Brighton,loss,1361
2018-09-23,Premier League,West Ham,draw,84
2018-09-23,Premier League,Arsenal,win,84
2018-09-29,Premier League,West Ham,win,90
2018-09-29,Premier League,Newcastle Utd,loss,932
2018-09-29,Premier League,Everton,win,121
2018-09-29,Premier League,Wolves,win,455
2018-09-29,Premier League,Arsenal,win,90
2018-09-29,Premier League,Manchester City,win,820
2018-09-29,Premier League,Chelsea,draw,77
2018-10-05,Premier League,Brighton,win,1374
2018-10-06,Premier League,Tottenham,win,1558
2018-10-06,Premier League,Crystal Palace,loss,389
2018-10-06,Premier League,Manchester Utd,win,827
2018-10-07,Premier League,Fulham,loss,1015
2018-10-07,Premier League,Liverpool,draw,1095
2018-10-20,Premier League,Chelsea,draw,98
2018-10-20,Premier League,Manchester City,win,841
2018-10-20,Premier League,West Ham,loss,111
2018-10-20,Premier League,Newcastle Utd,loss,953
2018-10-20,Premier League,Wolves,loss,476
2018-10-21,Premier League,Everton,win,143
2018-10-22,Premier League,Arsenal,win,113
2019-08-09,Premier League,Liverpool,win,1401
2019-08-10,Premier League,West Ham,loss,405
2019-08-10,Premier League,Crystal Palace,draw,697
2019-08-10,Premier League,Tottenham,win,1866
2019-08-11,Premier League,Newcastle Utd,loss,25
2019-08-11,Premier League,Manchester Utd,win,136
2019-10-26,Premier League,Manchester City,win,1212
2019-10-26,Premier League,West Ham,draw,482
2019-10-26,Premier League,Brighton,win,159
2019-10-27,Premier League,Newcastle Utd,draw,102
2019-10-27,Premier League,Arsenal,draw,483
2019-10-27,Premier League,Liverpool,win,1480
2019-11-02,Premier League,Brighton,win,166
2019-11-02,Premier League,Arsenal,draw,489
2019-11-02,Premier League,West Ham,loss,489
2019-11-02,Premier League,Manchester City,win,1219
2019-11-03,Premier League,Crystal Palace,loss,782
2019-11-03,Premier League,Everton,draw,521
2019-11-09,Premier League,Chelsea,win,128
2019-11-09,Premier League,Newcastle Utd,win,115
2019-11-09,Premier League,Tottenham,draw,1957
2019-11-10,Premier League,Manchester Utd,win,227
2019-11-10,Premier League,Wolves,win,862
2019-11-10,Premier League,Liverpool,win,1494
2019-11-23,Premier League,West Ham,loss,510
2019-11-23,Premier League,Crystal Palace,loss,802
2019-11-23,Premier League,Arsenal,draw,510
2019-11-23,Premier League,Everton,loss,541
2019-11-23,Premier League,Brighton,loss,187
2019-11-23,Premier League,Manchester City,win,1240
2019-11-30,Premier League,Newcastle Utd,draw,136
2019-11-30,Premier League,Tottenham,win,10
2019-11-30,Premier League,Liverpool,win,1514
2019-11-30,Premier League,Chelsea,loss,149
2019-12-01,Premier League,Wolves,draw,883
2019-12-01,Premier League,Manchester Utd,draw,248
2019-12-03,Premier League,Crystal Palace,win,812
2019-12-04,Premier League,Wolves,win,886
2019-12-04,Premier League,Chelsea,win,153
2019-12-04,Premier League,Manchester Utd,win,251
2019-12-04,Premier League,Liverpool,win,1518
2019-12-07,Premier League,Tottenham,win,17
2019-12-07,Premier League,Manchester City,loss,1254
2019-12-08,Premier League,Newcastle Utd,win,144
2019-12-08,Premier League,Brighton,draw,202
2019-12-09,Premier League,West Ham,loss,526
2019-12-14,Premier League,Liverpool,win,1528
2019-12-14,Premier League,Chelsea,loss,163
2019-12-15,Premier League,Manchester Utd,draw,262
2019-12-15,Premier League,Wolves,loss,897
2019-12-16,Premier League,Crystal Palace,draw,825
2019-12-21,Premier League,Brighton,loss,215
2019-12-21,Premier League,Newcastle Utd,win,157
